category,volume,end_date,start_date,question,slug,id
10-Crypto,4654555,2027-01-01,2025-12-29,"Will Bitcoin dip to $15,000 by December 31, 2026?",will-bitcoin-dip-to-15000-by-december-31-2026-416-954-417-853-885-363-335-458-585-275-615-269-479-379-516-218-918-374-598,1057916
10-Crypto,4546147,2026-03-01,2026-01-31,"Will Bitcoin dip to $35,000 in February?",will-bitcoin-dip-to-35k-in-february-2026-579-178-738,1303410
10-Crypto,4542101,2026-04-01,2026-03-01,"Will Bitcoin reach $85,000 in March?",will-bitcoin-reach-85k-in-march-2026,1473063
10-Crypto,4451426,2026-03-01,2026-01-31,"Will Bitcoin reach $125,000 in February?",will-bitcoin-reach-125k-in-february-2026,1303358
10-Crypto,4349534,2026-02-01,2026-01-01,"Will Bitcoin reach $120,000 in January?",will-bitcoin-reach-120k-in-january-2026,1082763
10-Crypto,4295129,2026-04-01,2026-03-01,"Will Bitcoin dip to $50,000 in March?",will-bitcoin-dip-to-50k-in-march-2026,1473078
10-Crypto,4053060,2026-07-31,2025-05-02,Will bitcoin hit $1m before GTA VI?,will-bitcoin-hit-1m-before-gta-vi-872,540844
10-Crypto,2666416,2027-01-01,2026-01-09,Will Satoshi move any Bitcoin in 2026?,will-satoshi-move-any-bitcoin-in-2026,1144471
10-Crypto,2429893,2027-01-01,2025-11-24,"Will Bitcoin dip to $55,000 by December 31, 2026?",will-bitcoin-dip-to-55000-by-december-31-2026-527-627-868-745-188-361-314-673-612-946-821-624-855-557-684-381,701501
10-Crypto,2062088,2027-01-01,2025-11-24,"Will Bitcoin dip to $45,000 by December 31, 2026?",will-bitcoin-dip-to-45000-by-december-31-2026-674-923-755-971-998-525-926-245-316-517-544-589-965-923-986-841-815-224,701502
10-Crypto,1819572,2027-01-01,2025-11-24,"Will Bitcoin dip to $35,000 by December 31, 2026?",will-bitcoin-dip-to-35000-by-december-31-2026-744-877-748-219-467-465-646-211-122-947-537-552-555-361-972-954-635-887,701503
10-Crypto,1666711,2027-01-01,2026-02-08,Will Bitcoin hit $60k or $80k first?,will-bitcoin-hit-60k-or-80k-first-965,1357099
10-Crypto,1535035,2027-01-01,2025-11-24,"Will Bitcoin dip to $65,000 by December 31, 2026?",will-bitcoin-dip-to-65000-by-december-31-2026-175-145-572-522-479-997-983,701500
10-Crypto,1330519,2027-01-01,2025-08-05,Will Bitcoin hit $80k or $150k first?,will-bitcoin-hit-80k-or-150k-first,572403
10-Crypto,1115325,2027-01-01,2025-11-24,"Will Bitcoin dip to $75,000 by December 31, 2026?",will-bitcoin-dip-to-75000-by-december-31-2026-333-141-768-486-937-643-979,701499
10-Crypto,503260,2027-01-01,2026-01-29,Will January be the best month for Bitcoin in 2026?,will-january-be-the-best-month-for-bitcoin-in-2026,1295994
10-Crypto,328728,2027-01-01,2026-01-02,Will Bitcoin hit $80k or $100k first?,will-bitcoin-hit-80k-or-100k-first-272,1089465
12-Economy,11734512,2026-02-28,2025-01-08,US recession in 2025?,us-recession-in-2025,516710
13-Trump-other,24724502,2026-12-31,2025-08-05,Will Trump nominate no one before 2027?,will-trump-nominate-no-one-before-2027,572506
13-Trump-other,13448709,2026-03-31,2025-11-05,Trump out as President by March 31?,trump-out-as-president-by-march-31,666860
13-Trump-other,10796181,2028-11-07,2025-07-11,Will Donald Trump Jr. win the 2028 US Presidential Election?,will-donald-trump-jr-win-the-2028-us-presidential-election,561244
13-Trump-other,8042639,2028-11-07,2025-07-11,Will Eric Trump win the 2028 US Presidential Election?,will-eric-trump-win-the-2028-us-presidential-election,561263
13-Trump-other,7533002,2028-11-07,2025-07-11,Will Donald Trump win the 2028 Republican presidential nomination?,will-donald-trump-win-the-2028-republican-presidential-nomination,561973
13-Trump-other,7523746,2026-12-31,2025-11-05,Trump out as President before 2027?,trump-out-as-president-before-2027,666861
13-Trump-other,7488421,2028-11-07,2025-07-11,Will Donald Trump win the 2028 US Presidential Election?,will-donald-trump-win-the-2028-us-presidential-election,561243
13-Trump-other,7442204,2028-11-07,2025-07-11,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,will-donald-trump-jr-win-the-2028-republican-presidential-nomination,561978
13-Trump-other,6491101,2028-11-07,2025-07-11,Will Ivanka Trump win the 2028 Republican presidential nomination?,will-ivanka-trump-win-the-2028-republican-presidential-nomination,561998
13-Trump-other,6298467,2026-01-21,2026-01-21,"Will Trump say ""Million"" or ""Billion"" or ""Trillion"" 10+ times during CNBC interview?",will-trump-say-million-or-billion-or-trillion-10-times-during-cnbc-interview,1231388
13-Trump-other,6219404,2028-11-07,2025-07-11,Will Eric Trump win the 2028 Republican presidential nomination?,will-eric-trump-win-the-2028-republican-presidential-nomination,562006
13-Trump-other,5677608,2026-01-15,2026-01-15,"Will Trump say ""Unbelievable"" or ""Fantastic"" or ""Incredible"" 10+ times during Panthers visit?",will-trump-say-unbelievable-or-fantastic-or-incredible-10-times-during-panthers-visit,1190382
13-Trump-other,5532857,2028-11-07,2025-07-11,Will Ivanka Trump win the 2028 US Presidential Election?,will-ivanka-trump-win-the-2028-us-presidential-election,561255
13-Trump-other,4859960,2026-01-31,2025-12-12,Will Trump talk to Emmanuel Macron in January?,will-trump-talk-to-emmanuel-macron-in-january,920396
13-Trump-other,3593164,2026-06-30,2026-03-11,Trump out as President by June 30?,trump-out-as-president-by-june-30,1559394
13-Trump-other,2595832,2026-10-10,2025-10-16,Will Donald Trump win the Nobel Peace Prize in 2026?,will-donald-trump-win-the-nobel-peace-prize-in-2026-382,637002
99-Other,31935669,2026-12-31,2026-01-04,Will Richard Grenell be the leader of Venezuela end of 2026?,will-richard-grenell-be-the-leader-of-venezuela-end-of-2026,1105754
99-Other,24924685,2026-12-31,2026-01-04,Will Frank Donovan be the leader of Venezuela end of 2026?,will-frank-donovan-be-the-leader-of-venezuela-end-of-2026,1105752
99-Other,8391756,2026-12-31,2025-07-03,Xi Jinping out before 2027?,xi-jinping-out-before-2027,559651
99-Other,8382038,2026-12-31,2026-01-04,Will Pete Hegseth be the leader of Venezuela end of 2026?,will-pete-hegseth-be-the-leader-of-venezuela-end-of-2026,1105750
99-Other,8368550,2026-03-31,2025-12-17,"Will the U.S. invade Venezuela by January 31, 2026?",will-the-us-invade-venezuela-by-january-31-2026,956450
99-Other,4708924,2026-12-31,2026-01-04,Will Evan Pettus be the leader of Venezuela end of 2026?,will-evan-pettus-be-the-leader-of-venezuela-end-of-2026,1105751
99-Other,3353478,2026-12-31,2026-01-04,Will Dan Caine be the leader of Venezuela end of 2026?,will-dan-caine-be-the-leader-of-venezuela-end-of-2026,1105753
99-Other,2151630,2026-12-31,2026-01-04,Will Dinorah Figuera be the leader of Venezuela end of 2026?,will-dinorah-figuera-be-the-leader-of-venezuela-end-of-2026,1105745
99-Other,1878322,2026-06-30,2025-12-17,Xi Jinping out by June 30?,xi-jinping-out-by,956370
